ts,hefei,ningbo,wenzhou,wuhan,wuxi
4045,98.35,94.96,93.36,8.57,99.3
4050,98.35,94.95,93.36,8.57,99.3
4055,98.36,94.95,93.36,8.57,99.3
4060,98.36,94.95,93.36,8.57,99.3
4065,98.36,94.94,93.36,8.57,99.3
4070,98.36,94.94,93.36,8.57,99.3
4075,98.36,94.94,93.36,8.57,99.3
4080,98.36,94.94,93.36,8.57,99.3
4085,98.36,94.93,93.36,8.57,99.3
4090,98.36,94.93,93.36,8.57,99.3
4095,98.36,94.93,93.35,8.57,99.3
4100,98.37,94.92,93.35,8.57,99.3
4105,98.37,94.92,93.35,8.57,99.3
4110,98.37,94.92,93.35,8.57,99.3
4115,98.37,94.92,93.35,8.57,99.3
4120,98.37,94.91,93.35,8.57,99.3
4125,98.37,94.91,93.35,8.57,99.3
4130,98.37,94.91,93.35,8.57,99.3
4135,98.37,94.91,93.35,8.57,99.3
4140,98.37,94.9,93.35,8.57,99.3
4145,98.37,94.9,93.35,8.48,99.3
4150,98.38,94.9,93.34,8.48,99.3
4155,98.38,94.9,93.34,8.48,99.3
4160,98.38,20.82,93.34,8.48,99.3
4165,98.38,8.19,93.34,8.48,99.3
4170,98.38,8.19,93.34,8.48,99.3
4175,98.38,8.19,93.34,8.48,99.3
